k,silhouette,davies_bouldin,calinski_harabasz,inertia,score
3,0.17835746893297938,1.8457089756119125,9192.53570971414,502365.03881740774,0.7499999944109637
4,0.16819874083895897,1.6923967193472844,8119.860089265963,461598.5930795978,0.8831257135320767
5,0.173185579801944,1.6866835565613527,7211.821850652237,435076.9269169425,0.8980672901215062
6,0.1318335592870781,1.8271870532015164,6633.249401197547,412278.5742683385,0.3621036338563237
7,0.1131758091784274,1.7790475788591098,6151.506189963624,394369.7615267006,0.28838900310976656
8,0.11998775471325876,1.7063019640376593,5803.295312123541,378071.82557599834,0.44012266647795056
9,0.11191149892967349,1.7097598255739865,5465.163246612865,365470.86547338066,0.36577333177135346
10,0.10362717845448467,1.777546278253626,5131.3789892877985,356043.6752794401,0.1889470660217063
11,0.09457121511096454,1.7461126220645478,4854.307729143148,347446.59167709143,0.16443468049635296
12,0.10321885274976186,1.7345196078081973,4614.360345540235,339749.2036058482,0.23672452315062692
